hr,weather,temperature,relative-humidity,windspeed,year,month,dayofweek,log_total_users
6,cloudy,71.8,81.0,11.0,2012,November,Tuesday,7.15305163493748
10,cloudy,80.2,76.0,13.0,2011,November,Thursday,7.214504414151143
6,clear,54.9,54.0,15.0,2012,February,Monday,6.828712071641684
6,clear,76.9,46.0,22.0,2012,April,Thursday,7.374001859350161
1,clear,68.4,56.00000000000001,0.0,2011,January,Thursday,4.04305126783455
19,cloudy,105.6,84.0,15.0,2012,September,Sunday,7.992268643270745
5,clear,100.5,89.0,13.0,2012,August,Sunday,5.272999558563747
5,cloudy,85.3,100.0,0.0,2011,April,Monday,5.2832037287379885
7,clear,70.1,75.0,0.0,2011,December,Wednesday,8.066835314417336
20,cloudy,107.3,57.99999999999999,28.0,2011,September,Wednesday,8.054522609537294
15,clear,107.3,28.000000000000004,31.0,2012,June,Tuesday,8.185071477532283
0,cloudy,73.5,56.99999999999999,0.0,2011,March,Wednesday,4.795790545596741
21,cloudy,102.2,94.0,20.0,2011,September,Monday,6.493753839851686
7,clear,88.7,88.0,6.0,2012,October,Wednesday,8.812992231969966
22,clear,110.7,66.0,15.0,2011,July,Tuesday,7.508787170634276
15,clear,122.5,35.0,0.0,2012,June,Wednesday,7.655864017616056
5,clear,75.2,46.0,9.0,2012,April,Saturday,4.007333185232471
5,clear,95.5,64.0,17.0,2011,June,Thursday,5.752572638825633
15,clear,105.6,39.0,15.0,2012,March,Tuesday,8.014004994779459
18,cloudy,109.0,55.00000000000001,13.0,2011,June,Saturday,8.352318548226004
18,cloudy,68.4,44.0,22.0,2012,January,Thursday,8.433594167539924
21,clear,90.4,48.0,9.0,2012,April,Sunday,7.721791776817535
6,clear,63.3,59.0,0.0,2011,December,Thursday,6.251903883165888
14,clear,119.2,39.0,0.0,2011,June,Friday,7.5411524551363085
2,cloudy,71.8,87.0,0.0,2012,December,Sunday,6.853299093186078
14,clear,124.2,40.0,13.0,2011,June,Thursday,7.233455418621439
1,light snow/rain,100.5,89.0,13.0,2012,May,Wednesday,4.007333185232471
10,clear,83.6,41.0,24.0,2012,October,Thursday,7.788211557847076
0,cloudy,63.3,75.0,9.0,2011,January,Friday,4.727387818712341
12,clear,73.5,53.0,9.0,2012,January,Wednesday,7.708410667257367
8,cloudy,80.2,94.0,22.0,2012,March,Sunday,6.9411900550683745
11,clear,93.8,68.0,11.0,2012,March,Monday,7.729735331385051
17,clear,75.2,49.0,15.0,2011,March,Friday,7.921898411023797
14,cloudy,63.3,40.0,17.0,2011,January,Friday,6.401917196727186
16,clear,102.2,36.0,19.0,2011,February,Friday,7.866722285136729
13,clear,105.6,37.0,19.0,2012,June,Thursday,8.216088098632316
15,clear,75.2,36.0,20.0,2012,March,Tuesday,7.60887062919126
1,clear,98.9,83.0,6.0,2012,May,Friday,6.20455776256869
14,clear,109.0,74.0,6.0,2012,September,Thursday,7.856319571406588
6,clear,98.9,73.0,0.0,2012,June,Sunday,5.905361848054571
1,clear,93.8,52.0,0.0,2012,May,Sunday,7.326465613840322
18,clear,93.8,30.0,0.0,2011,April,Thursday,8.318010277546872
19,cloudy,88.7,68.0,13.0,2012,October,Tuesday,7.285506548522785
23,clear,81.9,47.0,20.0,2012,March,Thursday,7.02197642307216
5,clear,80.2,76.0,15.0,2012,February,Thursday,5.996452088619021
11,light snow/rain,102.2,69.0,19.0,2011,September,Saturday,7.660585461703256
16,clear,103.9,22.0,24.0,2012,April,Tuesday,8.412721169819527
13,light snow/rain,85.3,94.0,15.0,2011,February,Monday,6.013715156042802
1,clear,68.4,87.0,13.0,2011,February,Sunday,6.0844994130751715
0,clear,75.2,81.0,0.0,2012,November,Wednesday,5.793013608384144
22,clear,90.4,55.00000000000001,9.0,2012,March,Wednesday,7.7706452341291765
8,cloudy,98.9,94.0,0.0,2011,September,Monday,8.398184404834035
22,clear,75.2,61.0,6.0,2012,December,Wednesday,7.381501894506707
18,clear,107.3,42.0,13.0,2011,July,Thursday,8.847216104357543
9,clear,102.2,41.0,24.0,2012,June,Wednesday,8.158229916959494
15,clear,112.4,38.0,31.0,2012,June,Monday,7.877017895622398
18,cloudy,81.9,77.0,0.0,2012,April,Wednesday,8.764990330169104
16,light snow/rain,65.0,93.0,22.0,2011,October,Saturday,5.583496308781699
9,clear,102.2,61.0,19.0,2011,April,Wednesday,7.781138509845015
16,clear,81.9,41.0,6.0,2011,December,Friday,8.146998697389993
15,clear,88.7,42.0,15.0,2011,March,Tuesday,7.2485040723706105
2,clear,59.9,47.0,11.0,2012,January,Saturday,6.126869184114185
13,clear,115.8,52.0,26.0,2012,May,Tuesday,7.9102237070973445
8,clear,105.6,65.0,15.0,2011,August,Friday,8.64259160081057
11,clear,80.2,50.0,13.0,2012,November,Friday,7.8383433155571165
12,cloudy,115.8,56.00000000000001,15.0,2012,July,Tuesday,7.870165946469845
18,clear,117.5,59.0,15.0,2011,July,Wednesday,8.707978826622321
5,clear,81.9,71.0,11.0,2011,October,Saturday,4.418840607796598
17,light snow/rain,107.3,70.0,26.0,2011,May,Monday,8.56388591940822
23,clear,95.5,88.0,9.0,2011,May,Friday,7.31986492980897
3,cloudy,92.1,64.0,9.0,2012,May,Sunday,5.860786223465865
4,cloudy,88.7,88.0,9.0,2012,March,Wednesday,3.912023005428146
17,clear,100.5,23.0,17.0,2012,May,Friday,9.160729871422848
5,clear,48.1,41.0,13.0,2012,January,Wednesday,5.231108616854587
15,clear,114.1,59.0,20.0,2011,June,Sunday,8.249575150000199
2,clear,68.4,75.0,6.0,2012,November,Friday,4.02535169073515
4,cloudy,103.9,89.0,7.0,2012,July,Sunday,5.3230099791384085
6,clear,92.1,49.0,28.0,2012,September,Saturday,5.973809611869261
20,clear,110.7,57.99999999999999,15.0,2011,July,Saturday,8.105609402299896
6,clear,73.5,76.0,11.0,2012,February,Wednesday,7.035268599281097
6,cloudy,98.9,94.0,6.0,2011,September,Monday,7.264730177929867
0,clear,85.3,77.0,19.0,2011,November,Monday,5.135798437050262
18,clear,76.9,25.0,30.0,2011,February,Saturday,6.927557906278317
8,clear,97.2,73.0,20.0,2012,September,Saturday,7.905441649060286
2,clear,100.5,94.0,13.0,2011,May,Monday,6.182084906716632
23,light snow/rain,92.1,94.0,6.0,2011,October,Wednesday,6.431331081933479
15,clear,73.5,36.0,20.0,2012,February,Thursday,7.412160334945205
1,clear,112.4,55.00000000000001,15.0,2012,July,Friday,5.814130531825066
20,light snow/rain,92.1,94.0,9.0,2011,May,Saturday,7.489412083508719
15,cloudy,73.5,45.0,13.0,2011,January,Thursday,6.760414691083428
22,cloudy,71.8,93.0,20.0,2011,April,Friday,6.410174881966167
5,clear,81.9,67.0,6.0,2012,April,Wednesday,5.8664680569332965
17,clear,85.3,24.0,30.0,2012,March,Monday,9.01627006814768
16,clear,71.8,56.00000000000001,15.0,2012,February,Sunday,8.200013648175434
7,clear,90.4,72.0,7.0,2012,June,Friday,8.604654467186231
19,clear,102.2,50.0,6.0,2011,August,Tuesday,8.637639344492104
16,clear,66.7,38.0,15.0,2011,January,Sunday,7.052721049232323
1,clear,85.3,94.0,19.0,2011,April,Monday,3.784189633918261
7,light snow/rain,85.3,94.0,0.0,2011,November,Wednesday,7.460490305825338
22,clear,51.5,41.0,26.0,2011,January,Friday,6.066108090103747
21,cloudy,107.3,66.0,7.0,2011,June,Saturday,7.618251097876695
18,clear,120.8,39.0,19.0,2011,June,Thursday,8.655388690167637
20,cloudy,90.4,68.0,7.0,2011,November,Sunday,7.195187320178709
1,clear,71.8,75.0,7.0,2012,November,Thursday,5.814130531825066
8,clear,102.2,78.0,11.0,2011,September,Sunday,6.658011045870748
10,clear,103.9,79.0,15.0,2012,May,Saturday,8.434246270595311
1,light snow/rain,105.6,65.0,15.0,2011,June,Friday,5.583496308781699
8,clear,105.6,32.0,20.0,2011,June,Thursday,8.687273461787838
8,cloudy,109.0,51.0,11.0,2011,August,Wednesday,8.614864218589684
21,clear,75.2,61.0,11.0,2012,February,Tuesday,7.577121930876679
1,cloudy,59.9,69.0,7.0,2011,February,Tuesday,3.784189633918261
23,clear,100.5,69.0,15.0,2011,August,Monday,6.983789965258135
9,clear,109.0,66.0,6.0,2011,July,Sunday,7.509883061154913
7,clear,63.3,64.0,0.0,2012,November,Thursday,8.446126742982377
16,clear,107.3,54.0,17.0,2012,August,Monday,8.587092318795905
17,clear,97.2,73.0,13.0,2012,March,Tuesday,9.116359308505288
19,cloudy,83.6,54.0,17.0,2011,March,Tuesday,7.60339933974067
18,clear,76.9,43.0,7.0,2011,December,Thursday,8.55468163582723
10,clear,109.0,60.0,15.0,2011,July,Sunday,8.068402958569699
19,clear,112.4,46.0,22.0,2011,May,Thursday,8.414495793177895
5,clear,103.9,79.0,17.0,2011,July,Friday,5.805134968916488
10,clear,65.0,51.0,19.0,2011,January,Sunday,6.892641641172089
17,clear,85.3,44.0,22.0,2011,March,Saturday,7.685243607975833
2,clear,107.3,70.0,0.0,2012,July,Saturday,6.9865664594064265
2,cloudy,80.2,82.0,19.0,2011,March,Sunday,5.971261839790462
20,clear,103.9,56.99999999999999,0.0,2012,August,Wednesday,8.567696173589344
6,cloudy,92.1,88.0,13.0,2011,September,Tuesday,7.289610521451167
20,clear,100.5,53.0,17.0,2011,August,Tuesday,8.025843344150903
14,clear,88.7,22.0,20.0,2012,April,Saturday,8.62317351495347
17,clear,100.5,44.0,13.0,2012,October,Sunday,8.673855001429615
14,cloudy,97.2,60.0,13.0,2011,September,Monday,7.685703061234547
1,light snow/rain,88.7,82.0,19.0,2011,May,Wednesday,4.48863636973214
12,cloudy,97.2,73.0,11.0,2011,October,Tuesday,7.6251071482389
20,clear,61.6,47.0,7.0,2011,January,Friday,6.486160788944089
0,clear,97.2,78.0,7.0,2012,May,Wednesday,6.371611847231857
4,clear,76.9,76.0,7.0,2011,April,Sunday,4.3694478524670215
21,clear,68.4,100.0,13.0,2011,February,Saturday,6.566672429803241
12,clear,76.9,46.0,15.0,2011,December,Thursday,7.530479995245536
8,cloudy,97.2,100.0,11.0,2011,September,Thursday,8.56331312702979
0,clear,85.3,72.0,9.0,2011,May,Monday,7.546446273746024
21,clear,76.9,71.0,0.0,2012,November,Tuesday,7.578656850594762
20,cloudy,100.5,69.0,19.0,2012,May,Tuesday,8.211482916445066
20,clear,73.5,81.0,0.0,2012,December,Saturday,7.787796878181171
22,clear,70.1,75.0,15.0,2011,February,Saturday,6.317164686747284
15,cloudy,88.7,42.0,22.0,2011,November,Sunday,8.159660737063376
14,clear,88.7,31.0,20.0,2011,November,Thursday,7.461640392208575
13,cloudy,100.5,83.0,11.0,2011,October,Thursday,7.594381242551817
16,clear,76.9,71.0,20.0,2011,February,Wednesday,7.1631723908466425
12,clear,63.3,44.0,28.0,2011,January,Thursday,6.484635235635252
5,clear,85.3,47.0,9.0,2011,April,Friday,5.780743515792329
23,clear,93.8,52.0,9.0,2012,June,Thursday,7.6255950721324535
4,clear,100.5,56.99999999999999,11.0,2011,August,Thursday,4.04305126783455
2,clear,75.2,46.0,15.0,2011,December,Monday,4.3694478524670215
15,light snow/rain,65.0,100.0,0.0,2011,February,Saturday,6.566672429803241
2,cloudy,68.4,81.0,0.0,2012,December,Saturday,6.440946540632921
20,clear,71.8,81.0,0.0,2011,December,Friday,7.543802867501509
16,cloudy,117.5,49.0,11.0,2012,September,Saturday,8.467162257810672
4,clear,75.2,81.0,15.0,2011,November,Tuesday,4.634728988229636
21,cloudy,75.2,87.0,22.0,2011,February,Thursday,6.949856455000773
20,clear,93.8,78.0,6.0,2012,March,Wednesday,8.39072252736229
23,clear,68.4,48.0,22.0,2012,January,Thursday,6.577861357721047
14,light snow/rain,73.5,81.0,13.0,2012,February,Thursday,5.988961416889864
17,clear,105.6,45.0,28.0,2012,May,Sunday,8.53089883847235
18,clear,85.3,31.0,22.0,2011,March,Saturday,7.728855823852543
22,clear,105.6,48.0,0.0,2011,August,Thursday,7.51425465281641
18,clear,110.7,45.0,15.0,2011,August,Tuesday,8.866158492284917
18,clear,97.2,43.0,6.0,2012,April,Thursday,9.158520623246385
5,clear,100.5,65.0,19.0,2011,May,Friday,5.973809611869261
15,clear,70.1,52.0,17.0,2011,January,Tuesday,6.6052979209482015
16,clear,90.4,29.0,31.0,2012,February,Wednesday,8.213110697596676
6,cloudy,68.4,56.00000000000001,19.0,2012,November,Wednesday,7.324489979348532
11,clear,93.8,46.0,17.0,2012,September,Sunday,8.74798740166097
9,clear,70.1,56.00000000000001,20.0,2011,March,Wednesday,7.5411524551363085
1,clear,107.3,74.0,9.0,2012,September,Saturday,6.862757913051401
18,clear,71.8,52.0,17.0,2012,February,Sunday,7.737616282857904
9,clear,80.2,43.0,30.0,2012,March,Wednesday,8.291045131081729
3,clear,68.4,60.0,9.0,2011,April,Wednesday,3.871201010907891
14,cloudy,78.5,54.0,6.0,2011,December,Wednesday,7.527255919373784
1,cloudy,110.7,75.0,6.0,2011,July,Monday,4.875197323201151
5,clear,88.7,72.0,6.0,2012,September,Wednesday,6.38856140554563
3,clear,100.5,53.0,0.0,2011,July,Saturday,5.746203190540153
14,clear,112.4,43.0,17.0,2012,June,Monday,7.908387159290043
9,cloudy,83.6,88.0,6.0,2012,March,Saturday,8.174702882469461
7,clear,102.2,61.0,22.0,2011,August,Monday,8.183955717304954
13,cloudy,88.7,67.0,9.0,2012,October,Tuesday,7.927324360309794
8,clear,59.9,59.0,7.0,2012,March,Tuesday,8.769196271411001
5,cloudy,83.6,67.0,17.0,2011,November,Monday,5.493061443340548
14,clear,114.1,55.00000000000001,28.0,2012,September,Tuesday,8.050384453067021
22,clear,107.3,74.0,7.0,2012,August,Wednesday,7.946617563244473
8,cloudy,88.7,88.0,9.0,2012,May,Sunday,7.198183577101943
7,clear,80.2,71.0,11.0,2011,April,Friday,7.5406215286571525
10,clear,58.2,43.0,26.0,2011,January,Sunday,6.45833828334479
12,clear,90.4,39.0,20.0,2011,December,Saturday,8.00469951054955
13,cloudy,97.2,53.0,22.0,2012,May,Monday,8.035926369891792
7,light snow/rain,97.2,78.0,13.0,2012,May,Wednesday,8.73214326770192
2,cloudy,92.1,56.00000000000001,7.0,2012,April,Sunday,6.738152494595957
8,clear,71.8,52.0,28.0,2012,January,Wednesday,8.743372131273969
19,clear,102.2,61.0,13.0,2011,May,Sunday,8.089175678837561
22,clear,105.6,54.0,0.0,2012,August,Tuesday,7.895436006942965
5,cloudy,68.4,65.0,7.0,2012,February,Tuesday,5.627621113690637
16,cloudy,102.2,74.0,7.0,2011,September,Wednesday,8.114324709155339
3,cloudy,98.9,94.0,0.0,2011,September,Monday,4.127134385045092
12,light snow/rain,92.1,60.0,31.0,2011,February,Friday,7.22983877815125
18,cloudy,85.3,59.0,11.0,2011,March,Thursday,8.222553638396958
20,cloudy,92.1,73.0,17.0,2011,November,Monday,7.922623574217286
21,clear,78.5,37.0,13.0,2012,February,Friday,7.370860166536716
10,light snow/rain,92.1,88.0,19.0,2011,May,Wednesday,7.071573364211532
6,clear,66.7,52.0,22.0,2012,February,Sunday,4.276666119016055
18,clear,68.4,48.0,26.0,2011,December,Saturday,7.602401335665818
6,cloudy,102.2,89.0,19.0,2012,September,Saturday,5.986452005284438
13,clear,105.6,65.0,15.0,2011,September,Saturday,8.208764045819667
23,clear,85.3,67.0,20.0,2011,February,Thursday,6.304448802421981
9,clear,61.6,43.0,9.0,2012,January,Sunday,7.220373836723949
15,cloudy,73.5,66.0,15.0,2012,February,Saturday,8.188133414510478
0,clear,85.3,55.00000000000001,7.0,2011,October,Saturday,7.149131598557407
9,clear,80.2,37.0,26.0,2011,February,Monday,7.4067107301776405
9,clear,102.2,83.0,15.0,2012,May,Sunday,7.912789220690681
5,clear,95.5,73.0,7.0,2011,July,Saturday,5.14166355650266
7,cloudy,102.2,83.0,6.0,2011,August,Friday,8.11552088154677
6,clear,105.6,79.0,6.0,2011,July,Wednesday,7.326465613840322
4,cloudy,66.7,87.0,7.0,2012,December,Saturday,4.356708826689592
7,light snow/rain,68.4,87.0,24.0,2011,October,Saturday,4.465908118654584
20,clear,92.1,49.0,0.0,2011,October,Friday,7.777373602657861
16,clear,114.1,38.0,15.0,2011,June,Tuesday,8.208764045819667
10,clear,110.7,66.0,9.0,2012,July,Sunday,8.324093761450404
8,clear,66.7,70.0,17.0,2012,January,Wednesday,8.78813593986372
1,cloudy,85.3,100.0,17.0,2011,December,Wednesday,4.955827057601261
10,cloudy,63.3,69.0,9.0,2012,December,Monday,7.218176838403408
15,clear,80.2,54.0,19.0,2011,January,Wednesday,6.945051063725834
1,clear,65.0,69.0,6.0,2012,December,Friday,5.817111159963204
1,clear,78.5,50.0,9.0,2012,March,Monday,4.852030263919617
18,clear,112.4,43.0,13.0,2011,August,Monday,8.802071336535285
13,clear,80.2,43.0,19.0,2012,February,Monday,7.708410667257367
14,clear,98.9,38.0,17.0,2012,September,Wednesday,8.119993827725105
0,clear,71.8,70.0,31.0,2011,March,Tuesday,4.499809670330265
4,cloudy,105.6,84.0,15.0,2011,August,Saturday,3.9318256327243257
10,cloudy,59.9,93.0,0.0,2011,February,Tuesday,6.421622267806518
20,clear,98.9,46.0,9.0,2011,March,Friday,7.415175109613295
16,light snow/rain,100.5,94.0,19.0,2011,September,Thursday,7.59890045687141
23,clear,73.5,66.0,9.0,2011,December,Friday,5.703782474656201
20,light snow/rain,59.9,93.0,13.0,2011,January,Tuesday,6.0330862217988015
23,clear,102.2,50.0,11.0,2011,August,Thursday,7.322510433997394
9,light snow/rain,65.0,87.0,20.0,2011,January,Wednesday,6.5998704992128365
7,clear,97.2,78.0,7.0,2012,June,Sunday,6.52795791762255
1,clear,85.3,82.0,0.0,2011,October,Saturday,6.633318433280377
7,clear,83.6,77.0,13.0,2012,September,Tuesday,8.871365005136852
11,cloudy,97.2,73.0,20.0,2011,April,Monday,6.98933526597456
22,clear,105.6,70.0,20.0,2011,June,Tuesday,7.353081920515432
7,clear,100.5,73.0,0.0,2012,August,Thursday,8.814479000010714
21,cloudy,76.9,100.0,7.0,2012,December,Sunday,7.085064293952548
11,clear,93.8,64.0,19.0,2012,October,Saturday,8.76795190976342
12,clear,105.6,54.0,0.0,2012,May,Wednesday,8.036573409707312
2,light snow/rain,76.9,93.0,6.0,2012,March,Saturday,6.161207321695077
6,clear,63.3,59.0,13.0,2012,February,Friday,6.705639094860003
15,clear,107.3,32.0,15.0,2012,March,Thursday,8.048788283534199
19,clear,76.9,46.0,20.0,2012,February,Tuesday,8.274357006756292
11,cloudy,119.2,47.0,0.0,2012,July,Tuesday,7.749322464660356
22,clear,66.7,44.0,0.0,2011,February,Tuesday,6.274762021241939
13,light snow/rain,71.8,87.0,9.0,2011,December,Tuesday,5.556828061699537
8,cloudy,56.6,50.0,19.0,2011,January,Monday,7.793586803371584
17,clear,88.7,45.0,11.0,2011,November,Monday,8.798907492088226
8,clear,73.5,56.99999999999999,11.0,2012,November,Friday,9.089753408987065
15,clear,93.8,60.0,11.0,2011,October,Monday,7.5953872788539725
14,clear,97.2,28.000000000000004,0.0,2012,September,Monday,8.153061946801051
12,cloudy,114.1,43.0,13.0,2012,June,Monday,8.01102337918644
21,clear,75.2,46.0,17.0,2011,November,Friday,7.348587530927593
10,cloudy,85.3,67.0,0.0,2012,October,Wednesday,7.864419904994565
2,cloudy,109.0,79.0,6.0,2011,July,Monday,4.0943445622221
2,light snow/rain,90.4,72.0,20.0,2012,June,Tuesday,4.624972813284271
5,clear,97.2,78.0,9.0,2012,May,Monday,4.499809670330265
1,clear,98.9,94.0,11.0,2011,September,Tuesday,4.624972813284271
3,clear,100.5,73.0,0.0,2012,August,Friday,4.584967478670572
10,clear,68.4,81.0,17.0,2011,December,Sunday,5.926926025970411
9,clear,54.9,49.0,20.0,2012,February,Sunday,6.688354713946762
16,light snow/rain,81.9,57.99999999999999,13.0,2012,October,Monday,8.418697944667139
3,clear,95.5,46.0,6.0,2012,June,Wednesday,4.584967478670572
12,cloudy,61.6,55.00000000000001,7.0,2011,January,Monday,6.736966958001855
16,clear,93.8,37.0,28.0,2012,March,Wednesday,8.170751423757535
17,cloudy,80.2,94.0,17.0,2012,December,Monday,8.75384509275524
13,cloudy,90.4,48.0,6.0,2011,April,Thursday,7.3395376954076745
23,clear,80.2,62.0,15.0,2011,October,Friday,7.254177846456518
22,clear,59.9,43.0,17.0,2011,February,Tuesday,6.903747257584598
2,clear,73.5,66.0,11.0,2012,November,Friday,4.672828834461906
16,cloudy,114.1,36.0,15.0,2012,July,Friday,8.65434302956347
4,light snow/rain,61.6,74.0,11.0,2011,March,Sunday,4.2626798770413155
22,clear,109.0,55.00000000000001,7.0,2012,June,Sunday,7.600902459542082
22,clear,66.7,65.0,24.0,2011,January,Friday,5.8289456176102075
9,cloudy,75.2,87.0,7.0,2011,April,Saturday,7.007600613951853
3,cloudy,83.6,82.0,11.0,2012,April,Sunday,6.159095388491933
13,clear,110.7,48.0,28.0,2011,August,Wednesday,7.911690520708339
19,clear,90.4,42.0,11.0,2012,September,Sunday,8.49351506406166
5,light snow/rain,75.2,93.0,6.0,2012,January,Thursday,5.308267697401205
5,clear,85.3,72.0,20.0,2012,May,Thursday,5.730099782973574
5,clear,93.8,73.0,7.0,2011,August,Wednesday,5.84354441703136
19,clear,97.2,26.0,17.0,2012,April,Tuesday,8.785386587284156
11,clear,75.2,76.0,9.0,2012,January,Sunday,7.348587530927593
10,clear,100.5,38.0,7.0,2011,June,Saturday,8.14002395246292
21,cloudy,92.1,68.0,6.0,2011,September,Sunday,7.430114138561801
7,cloudy,93.8,94.0,7.0,2011,May,Monday,8.002694162283937
10,clear,87.0,63.0,6.0,2012,April,Thursday,7.687997166393016
10,cloudy,98.9,73.0,9.0,2012,May,Friday,7.749753406274437
14,clear,95.5,53.0,17.0,2011,October,Tuesday,7.701200180857446
16,clear,110.7,37.0,0.0,2012,August,Tuesday,8.598035579260339
17,clear,78.5,87.0,9.0,2012,December,Saturday,8.298041661371565
5,light snow/rain,92.1,88.0,24.0,2011,September,Tuesday,5.575949103146316
15,clear,76.9,25.0,19.0,2012,January,Sunday,8.19450550976564
6,clear,78.5,82.0,17.0,2011,December,Friday,6.257667587882639
3,cloudy,88.7,100.0,7.0,2011,April,Monday,4.787491742782046
19,clear,102.2,50.0,15.0,2011,August,Tuesday,8.378850241794492
22,clear,93.8,52.0,19.0,2012,June,Monday,7.570443252057374
